timestamp,mean,mutations,chest,ticket
1504075431,0.72444810,1006,0,0
1504075534,0.73477328,10026,8,0.00000006
1504075559,0.73140688,11812,12,0.00009009
1504075620,0.75377299,16090,17,0.00005570
1504075635,0.72925579,17099,19,0.00000001
1504075731,0.73666808,23638,27,0.00000000
1504075752,0.72138687,25036,27,0.00018038
1504075782,0.73365705,27119,32,0.00000000
1504075810,0.72273680,29000,40,0.00210526
1504075829,0.73310933,30353,43,0.00000001
1504075829,0.72275641,30361,48,0.00000000
1504075916,0.72918316,36383,56,0.00649351
1504075952,0.72647426,38817,62,0.00003591
1504075966,0.73310933,39826,70,0.00000004
1504075969,0.73716890,39995,73,0.00000063
1504076234,0.74048289,58641,74,0.01960784
1504076289,0.72647426,62544,79,0.00215517
1504076308,0.72643254,63836,83,0.00033069
1504076360,0.72097316,67694,86,0.00003096
1504076363,0.72427028,67957,92,0.03333333
1504076492,0.73516253,77669,97,0.00009921
1504076498,0.73269231,78078,102,0.00000001
1504076506,0.73304087,78660,113,0.00002963
1504076594,0.72291748,85204,121,0.00000041
1504076596,0.72133374,85313,126,0.00000000
1504076732,0.72903922,95380,130,0.00000172
1504076766,0.72619456,97888,134,0.00000002
1504076895,0.72138687,108192,140,0.00061843
1504076984,0.74055578,116114,150,0.00002895
1504076992,0.73085835,116747,155,0.00000932
1504077004,0.74045665,117774,160,0.00000150
1504077035,0.73089218,120183,164,0.00119048
1504077188,0.75896342,130734,169,0.00004069
1504077194,0.72784380,131168,175,0.00000001
1504077226,0.72138687,133623,179,0.00000003
1504077245,0.72792144,135344,182,0.00000051
1504077267,0.74306384,137219,185,0.01818182
1504077361,0.72577124,145004,186,0.00000000
1504077591,0.73064250,162487,191,0.00016340
1504077630,0.72311699,165800,197,0.00002304
1504077667,0.73082233,169016,201,0.01098901
1504077806,0.73814103,181635,206,0
1504077825,0.73861121,183328,212,0.00001167
1504077857,0.73725629,186216,220,0.00446429
1504078029,0.72133374,200854,225,0.00000002
1504078085,0.72291748,205268,231,0.00025900
1504078087,0.72918384,205411,238,0.00000663
1504078104,0.72779713,206777,243,0.00000036
1504078113,0.72291590,207538,249,0.00000002
1504078202,0.72915705,215139,253,0
1504078214,0.72887051,216172,260,0.00000008
1504078249,0.72942159,219133,266,0.00000041
1504078286,0.73016912,222243,269,0.00000827
1504078347,0.72097316,227261,274,0.00000000
1504078436,0.72486022,234645,276,0.00206612
1504078501,0.72756410,240170,277,0.00000000
1504078501,0.74468689,240210,284,0.00000000
1504078502,0.72905449,240250,287,0.00000043
1504078511,0.74006053,241205,298,0.00000705
1504078532,0.72796315,243263,302,0.00002508
1504078543,0.72857000,244363,306,0.00017879
1504078640,0.73403931,252789,311,0.00000023
1504078641,0.73425629,252872,319,0.00081699
1504078686,0.72742034,256640,321,0.00000015
1504078786,0.75664636,265583,323,0.02631579
1504078793,0.73355837,266302,326,0.02941176
1504078799,0.72612261,266897,329,0.00000050
1504078839,0.73904475,270450,333,0.00289855
1504078904,0.74472846,276333,337,0.00001214
1504078999,0.72750932,285154,344,0.00000965
1504079005,0.74868827,285638,349,0.00000060
1504079028,0.72905449,287730,357,0.00000045
1504079032,0.72723838,288184,361,0.02439024
1504079092,0.73103931,293834,366,0.04347826
1504079142,0.72273680,298502,373,0.00000001
1504079188,0.72277124,302849,382,0.00689655
1504079234,0.73981554,307428,386,0.00000124
1504079235,0.74960233,307535,396,0.00000002
1504079236,0.73038304,307661,403,0.00000897
1504079277,0.74801734,312050,407,0.00056529
1504079303,0.73346295,314790,412,0.00000302
1504079306,0.72578086,315112,415,0.00111483
1504079379,0.73894150,322981,418,0.00000031
1504079411,0.72597871,326370,423,0.00023148
1504079465,0.72784270,332135,428,0.00006313
1504079478,0.72118298,333535,433,0.00000150
1504079500,0.73110781,335898,437,0.00006559
1504079500,0.72605066,335920,447,0.00001788
1504079507,0.72138687,336652,452,0.00006944
1504079571,0.72257573,343555,456,0.00520833
1504079607,0.72599068,347420,462,0.00001924
1504079634,0.73045192,350393,470,0.02857143
1504079684,0.72792144,355805,473,0.00036232
1504079703,0.72639465,357816,480,0.06666667
1504079767,0.73186452,364662,484,0.00000000
1504079770,0.73225632,364995,488,0.00000029
1504079804,0.72466890,368754,490,0.00000008
1504079865,0.72312681,375304,498,0.00000000
1504079910,0.74643308,380215,501,0.00000000
1504079954,0.72257573,384940,504,0.00000002
1504079966,0.72953548,386174,507,0.01666667
1504079996,0.73525651,389480,511,0.00000009
1504080008,0.75185897,390753,516,0.00003339
1504080016,0.72765705,391671,518,0.00029735
1504080144,0.72660181,405554,522,0.00000004
1504080148,0.72949377,405902,528,0.00000556
1504080190,0.73869702,410292,536,0.00000002
1504080245,0.72295192,416156,539,0.00000004
1504080249,0.73856838,416633,542,0.02272727
1504080285,0.72151442,420581,543,0.00000000
1504080306,0.72127124,422793,549,0.00000001
1504080437,0.73340523,436911,554,0.00000000
1504080453,0.72946698,438652,556,0.00740741
1504080513,0.72452005,445193,562,0.00058651
1504080527,0.73957352,446677,569,0.00000014
1504080538,0.73110781,447889,573,0.00000169
1504080672,0.73413310,462603,576,0.00000421
1504080673,0.73139245,462674,578,0.00000102
1504080696,0.72804658,465195,584,0.01818182
1504080762,0.74162585,472435,587,0.00000107
1504080773,0.75177469,473638,591,0.00073314
1504080779,0.72344943,474321,595,0.00000007
1504080783,0.72755449,474720,597,0.00000000
1504080805,0.72295833,477162,601,0.07142857
1504080834,0.73653846,480359,607,0.00000048
1504080847,0.73287146,481767,609,0.00125313
1504080862,0.73619575,483382,617,0.00000002
1504080913,0.72980057,489028,622,0.00001044
1504080972,0.73939284,495496,625,0.00081169
1504080988,0.72600478,497230,629,0.00000001
1504081003,0.75683761,498860,633,0.00000000
1504081006,0.73290094,499234,635,0.00036430
1504081039,0.72097316,502888,639,0.00100806
1504081056,0.73732862,504779,645,0.00000168
1504081078,0.73089465,507111,652,0.00000000
1504081134,0.72569444,513231,659,0.00000000
1504081147,0.72298944,514649,663,0.00030788
1504081155,0.73440171,515524,668,0.00000000
1504081190,0.72895192,519195,672,0.00000000
1504081208,0.73974359,521053,677,0.00000263
1504081337,0.72458333,534599,684,0.00003655
1504081430,0.72605449,544812,690,0.00000064
1504081461,0.72375356,548186,694,0.50000000
1504088712,0.73880516,554023,698,0.00000018
1504088733,0.73948864,556536,702,0.00000000
1504088737,0.72723838,557009,705,0.00000166
1504088739,0.72765330,557300,708,0.00000001
1504088747,0.72920520,558155,712,0.00000000
1504110489,0.72916667,566758,715,0.00000000
1504137403,0.73040523,576904,722,0.00002932
1504137405,0.72305449,577219,726,0.00042283
1504137406,0.72730058,577244,733,0.00014881
1504137429,0.73569965,579862,738,0.00001543
1504139686,0.72877124,582678,743,0.00000001
1504139735,0.72138687,588402,746,0.00000002
1504139789,0.73403683,594057,752,0.00004164
1504139807,0.72471955,595961,753,0.00000183
1504139879,0.72466890,603745,758,0.00000552
1504139896,0.73669314,605523,762,0.00075188
1504139898,0.73177169,605802,772,0.00023100
1504139932,0.72597871,609460,777,0.00000001
1504139941,0.72615705,610442,781,0.01851852
1504140020,0.72796315,618717,786,0.00000076
1504140079,0.72609273,625173,788,0.00271003
1504140111,0.72597871,628603,792,0.01639344
1504140203,0.72452005,638451,799,0.00000138
1504140232,0.73365385,641641,808,0.00000049
1504140235,0.72325808,641920,810,0.00000117
1504140240,0.72066952,642554,814,0.00000000
1504140342,0.72459200,653552,816,0.00000738
1504140374,0.72765705,656993,820,0.00000017
1504140377,0.74354560,657317,823,0.01612903
1504140449,0.73071445,664817,832,0.00000407
1504140496,0.73671364,669854,834,0.00000002
1504140500,0.73212434,670328,837,0.00000021
1504140533,0.73440171,673709,841,0.01639344
1504140535,0.76217949,673884,846,0.01960784
1504140559,0.72459200,676384,856,0.01612903
1504140695,0.74838462,689502,860,0.00000000
1504140734,0.73642982,693479,863,0.00000032
1504140745,0.73694519,694564,865,0.00008534
1504140761,0.73115241,696116,870,0.01886792
1504140789,0.73205449,698881,875,0.00007928
1504140843,0.73621759,704159,878,0.00000008
1504140860,0.72275641,705727,880,0.00000092
1504140867,0.73460826,706449,884,0.00001140
1504140954,0.73814103,714793,889,0.00028736
1504140960,0.72275641,715388,895,0.00039185
1504140967,0.74105680,716041,900,0.00001120
1504140975,0.72115385,716754,901,0.00002577
1504141038,0.73052178,722532,908,0.00000001
1504141104,0.72569444,729285,915,0.00044803
1504141148,0.73145180,733993,918,0.00000000
1504141179,0.72188483,737502,923,0.01612903
1504141184,0.73621113,737974,927,0.00000164
1504141188,0.72445874,738447,931,0.00000076
1504141231,0.72291748,743098,935,0.00000001
1504141279,0.72816431,748308,945,0.00002268
1504141384,0.73111164,759373,947,0.00000377
1504141391,0.73799177,760124,950,0.04545455
1504141558,0.74989321,777934,957,0.00005314
1504141599,0.73363192,782241,962,0.00000001
1504141605,0.72612261,782942,966,0.00030358
1504141620,0.72590140,784525,969,0.00000117
1504141623,0.72590523,784862,970,0.00030303
1504141677,0.72853817,790508,976,0.00000061
1504141697,0.74460495,792563,983,0.00000000
1504141729,0.74016987,796051,985,0.00000000
1504141738,0.73015046,797024,994,0.00000030
1504141966,0.72417829,821241,997,0.00000000
1504142009,0.72905449,825586,1003,0.00002415
1504142012,0.73372690,825918,1006,0.00000021
1504142037,0.74302067,828425,1010,0.00027337
1504142149,0.72490193,837188,1015,0.00000117
1504142173,0.73789039,839485,1018,0.00000001
1504142224,0.74308858,844642,1026,0.00000002
1504142231,0.72905449,845266,1030,0.00002661
1504142288,0.74549974,851156,1036,0.00000027
1504142308,0.72289624,853105,1040,0.01754386
1504142317,0.73015046,853955,1049,0.01754386
1504142343,0.72409373,856551,1052,0.00000148
1504142350,0.73077753,857139,1055,0.01694915
1504142397,0.72426742,861717,1058,0.00000452
1504142469,0.73809339,869136,1063,0.00127714
1504142514,0.73225962,873962,1065,0.00014952
1504142539,0.72459200,876809,1066,0.00082645
1504142602,0.74016987,883183,1070,0.00000314
1504142618,0.73299501,884809,1077,0.00446429
1504142635,0.72612221,886562,1084,0.00100100
1504142639,0.72435897,886985,1086,0.00000778
1504142674,0.74294713,890489,1090,0.33333333
1504142724,0.72138687,895480,1096,0.00001564
1504142774,0.72714754,900054,1100,0.00037037
1504142779,0.74304654,900525,1107,0.00004685
1504142780,0.73479269,900655,1114,0.00000012
1504142821,0.73393510,904155,1119,0.01010101
1504142852,0.73268014,907296,1121,0.00002042
1504142888,0.72975629,910805,1126,0.00001141
1504142901,0.72941612,912255,1134,0.00000003
1504142911,0.73615796,913376,1139,0.00000036
1504142953,0.73124402,917723,1145,0.00000000
1504142998,0.72307692,922417,1149,0.00226244
1504143008,0.72944636,923573,1152,0.00000003
1504143047,0.72961164,927920,1157,0.05263158
1504143070,0.73617056,930547,1162,0.00000092
1504143206,0.73474188,945596,1165,0.00000007
1504143215,0.72800487,946605,1171,0
1504143249,0.74232085,950492,1174,0.00000374
1504143294,0.73666808,955125,1180,0.00238095
1504143333,0.73761574,959165,1183,0.00057604
1504143383,0.73697801,964225,1188,0.00000001
1504143407,0.73103931,966581,1195,0.02500000
1504143411,0.72115385,966889,1202,0.00000002
1504143545,0.72790427,979964,1204,0.00000003
1504143557,0.72362849,981205,1208,0.00033602
1504143687,0.72445192,993538,1212,0.00043860
1504143688,0.72437079,993702,1218,0.00000177
1504143692,0.74491026,994033,1221,0.00000000
1504143713,0.73982617,995931,1224,0.00001923
1504143732,0.73432961,997656,1230,0.00011905
1504143738,0.73525962,998189,1233,0.03703704
1504143740,0.72307692,998372,1240,0.00000045
1504143782,0.72291748,1002495,1246,0.00505051
1504143799,0.72974646,1004172,1251,0.00033807
1504143808,0.72273680,1005020,1260,0.03571429
1504143825,0.72925579,1006656,1266,0.00002480
1504143844,0.72961891,1008548,1271,0.00001890
1504143874,0.73386218,1011463,1276,0.00002255
1504143888,0.72953548,1012836,1283,0.00480769
1504143896,0.73827064,1013512,1286,0.00000001
1504143905,0.72295192,1014381,1294,0.00000055
1504143967,0.73981960,1020416,1297,0.00000006
1504144149,0.74078759,1039108,1304,0.01666667
1504144156,0.72756410,1039874,1309,0.00031056
1504144201,0.72444810,1044729,1315,0.02702703
1504144209,0.73065705,1045596,1319,0
1504144231,0.73386218,1047958,1323,0.00000045
1504144284,0.73473336,1053631,1327,0.00000000
1504144289,0.73853931,1054273,1330,0.00004184
1504144310,0.73411164,1056409,1336,0.00074074
1504144315,0.72893481,1056940,1337,0.00000034
1504144347,0.72596154,1060432,1341,0.00000284
1504144354,0.72120619,1061124,1349,0.01666667
1504144365,0.73261164,1062207,1354,0.00000001
1504144387,0.72298944,1064519,1360,0.00000000
1504144409,0.74491026,1066941,1365,0.00002806
1504144447,0.72779713,1070836,1372,0.00000737
1504144449,0.73236277,1071130,1379,0.00001187
1504144451,0.73928217,1071276,1383,0.00011196
1504144472,0.72454988,1073472,1391,0.00000002
1504144515,0.72151442,1078191,1396,0.00012422
1504144576,0.76330981,1085047,1401,0.00132626
1504144676,0.72227208,1095972,1402,0.02380952
1504144767,0.73103931,1105950,1406,0.00001612
1504144779,0.73645192,1107173,1408,0.00000051
1504144788,0.72632233,1108102,1414,0
1504144913,0.73814103,1121798,1419,0.00000001
1504144935,0.72961164,1124298,1422,0.01587302
1504144998,0.72765322,1131152,1426,0.00000059
1504145016,0.72284018,1133178,1428,0.01818182
1504145027,0.73640413,1134375,1434,0.00000000
1504145096,0.72984605,1141689,1439,0.00000193
1504145100,0.72932852,1142118,1441,0.00002520
1504145116,0.73965482,1143877,1447,0.00000000
1504145117,0.73343733,1144028,1448,0.00001206
1504145121,0.72452005,1144446,1455,0.00000030
1504145123,0.72452005,1144620,1458,0.00757576
1504145150,0.73575629,1147655,1464,0.00000029
1504145161,0.72624123,1148904,1471,0.00044326
1504145201,0.73101869,1153404,1476,0.33333333
1504145212,0.73177169,1154598,1481,0.00476190
1504145216,0.74367438,1155104,1486,0.00000036
1504145264,0.73118396,1160260,1489,0.00002580
1504145286,0.72097316,1162691,1494,0.00000156
1504145287,0.73429418,1162834,1502,0.00000050
1504145294,0.73343684,1163552,1513,0
1504145308,0.72743201,1165071,1518,0.00000000
1504145332,0.72344261,1167782,1524,0.00000742
1504145354,0.72606055,1170124,1527,0.00064475
1504145382,0.74326732,1173315,1528,0.00000000
1504145394,0.73261164,1174743,1533,0.00002122
1504145412,0.75419338,1176756,1542,0.00002676
1504145486,0.73300600,1184864,1548,0.00000504
1504145546,0.73680006,1191333,1549,0.00000021
1504145547,0.72459200,1191421,1554,0.00000009
1504145590,0.72596154,1196193,1557,0.00000066
1504145600,0.72597871,1197263,1564,0.00000011
1504145664,0.73587775,1204319,1569,0.00230415
1504145666,0.73640413,1204478,1575,0.01666667
1504145801,0.72151442,1219431,1581,0.00018038
1504145859,0.73707975,1225781,1586,0.00001891
1504145929,0.72452668,1233384,1593,0.00000014
1504145943,0.72459200,1234904,1595,0.00000017
1504145979,0.72627147,1238885,1597,0.00000380
1504146097,0.73104968,1251689,1604,0.00026709
1504146121,0.73697801,1254362,1605,0.00046296
1504146163,0.73553931,1259005,1609,0.00000001
1504146173,0.73372690,1260139,1609,0.00000748
1504146199,0.73055449,1262870,1615,0.00000000
1504146226,0.72120619,1265891,1618,0.00042882
1504146231,0.72470736,1266352,1626,0.00000000
1504146284,0.73463994,1272245,1631,0.00111607
1504146286,0.72973664,1272493,1636,0.00006079
1504146560,0.73131879,1302428,1642,0.00037202
1504146589,0.72419872,1305601,1646,0.00058275
1504146660,0.72577124,1313198,1651,0.00000068
1504146736,0.73495192,1321022,1655,0.00000027
1504146763,0.72273680,1323596,1659,0.00028802
1504146817,0.72918384,1328978,1660,0.00000000
1504146824,0.73958333,1329718,1665,0.00009019
1504146848,0.73386218,1331909,1671,0.00000009
1504146859,0.72643254,1332773,1679,0.00029806
1504146886,0.72127124,1334615,1686,0.00001329
1504146933,0.72775920,1338241,1692,0.00012860
1504146936,0.74395268,1338539,1697,0.00001417
1504146957,0.72325808,1340501,1704,0.00000076
1504147088,0.72991779,1350577,1713,0.00000000
1504147203,0.73758796,1360774,1719,0.00000000
1504147213,0.73177367,1361536,1723,0.00004175
1504147301,0.72756410,1367613,1726,0.00000000
1504147459,0.72760591,1369291,1732,0.00000000
